age,qx,lx,dx,Dx,Nx,Sx,Cx,Mx,Rx,ax,ax (n year gtee),ax (n year gtee)
10,0.00118,897001,1058.46118,886484.7593,54210914.9,1819027322,1044.819129,822591.2741,52066992.49,61.15267559,12.72052213,12.67885546
11,0.00118,895942.5388,1057.212196,884395.1211,53324430.14,1764816408,1042.356262,821546.4549,51244401.22,60.29480362,12.71036963,12.66870297
12,0.00118,894885.3266,1055.964685,882310.4085,52440035.02,1711491977,1039.899201,820504.0987,50422854.76,59.43490467,12.69939199,12.65772532
13,0.00118,893829.3619,1054.718647,880230.6101,51557724.62,1659051942,1037.447931,819464.1995,49602350.66,58.57297397,12.68752212,12.64585545
14,0.00118,892774.6433,1053.474079,878155.7143,50677494.01,1607494218,1035.00244,818426.7515,48782886.46,57.70900671,12.67468752,12.63302086
15,0.00118,891721.1692,1052.23098,876085.7094,49799338.29,1556816724,1032.562713,817391.7491,47964459.71,56.84299807,12.66080978,12.61914311
16,0.00118,890668.9382,1050.989347,874020.584,48923252.58,1507017385,1030.128737,816359.1864,47147067.96,55.97494324,12.64580411,12.60413744
17,0.00118,889617.9489,1049.74918,871960.3265,48049232,1458094133,1027.700499,815329.0576,46330708.78,55.10483738,12.62957884,12.58791218
18,0.00118,888568.1997,1048.510476,869904.9255,47177271.67,1410044901,1025.277984,814301.3571,45515379.72,54.23267565,12.61203485,12.57036818
19,0.00118,887519.6892,1047.273233,867854.3695,46307366.75,1362867629,1022.86118,813276.0792,44701078.36,53.35845318,12.59306496,12.55139829
20,0.00118,886472.416,1046.037451,865808.6472,45439512.38,1316560262,1020.450073,812253.218,43887802.28,52.48216511,12.57255327,12.5308866
21,0.0012,885426.3785,1062.511654,863767.747,44573703.73,1271120750,1035.299643,811232.7679,43075549.07,51.60380656,12.55037447,12.5087078
22,0.00123,884363.8669,1087.767556,861714.4027,43709935.98,1226547046,1058.659497,810197.4683,42264316.3,50.72438832,12.52665308,12.48498641
23,0.00124,883276.0993,1095.262363,859640.1187,42848221.58,1182837110,1064.697404,809138.8088,41454118.83,49.84437167,12.50139245,12.45972579
24,0.00126,882180.837,1111.547855,857562.2415,41988581.46,1139988889,1079.254903,808074.1114,40644980.02,48.9627218,12.47420686,12.4325402
25,0.00128,881069.2891,1127.76869,855472.2558,41131019.22,1098000307,1093.713905,806994.8565,39836905.91,48.07989849,12.44506837,12.4034017
26,0.00129,879941.5204,1135.124561,853370.2744,40275546.96,1056869288,1099.550185,805901.1426,39029911.05,47.19586347,12.41381685,12.37215019
27,0.00131,878806.3959,1151.236379,851264.9341,39422176.69,1016593741,1113.842729,804801.5924,38224009.91,46.31011464,12.38015051,12.33848385
28,0.00133,877655.1595,1167.281362,849147.7827,38570911.75,977171564.5,1128.035469,803687.7496,37419208.32,45.42308482,12.34400028,12.30233361
29,0.00136,876487.8781,1192.023514,847018.9338,37721763.97,938600652.7,1150.588056,802559.7142,36615520.57,44.53473525,12.30516242,12.26349575
30,0.00139,875295.8546,1216.661238,844870.0414,36874745.04,900878888.7,1172.985235,801409.1261,35812960.85,43.64546407,12.26354383,12.22187716
31,0.00143,874079.1934,1249.933247,842701.2845,36029875,864004143.7,1203.642539,800236.1409,35011551.73,42.75521547,12.21891538,12.17724871
32,0.00148,872829.2601,1291.787305,840504.4264,35187173.71,827974268.7,1242.480424,799032.4983,34211315.59,41.86435265,12.17115544,12.12948878
33,0.00153,871537.4728,1333.452333,838271.3197,34346669.29,792787095,1281.043488,797790.0179,33412283.09,40.97321294,12.12013067,12.07846401
