Salary Structure,Grade Level,Step,Grade Level/Step,Annual Salary
CONPOSS,1,1,CONPOSS/1/1,97432.89
CONPOSS,2,1,CONPOSS/2/1,450621
CONPOSS,2,2,CONPOSS/2/2,455031.92
CONPOSS,2,3,CONPOSS/2/3,459442.84
CONPOSS,2,4,CONPOSS/2/4,463853.76
CONPOSS,2,5,CONPOSS/2/5,468264.68
CONPOSS,2,6,CONPOSS/2/6,472675.6
CONPOSS,2,7,CONPOSS/2/7,477086.53
CONPOSS,2,8,CONPOSS/2/8,481497.45
CONPOSS,2,9,CONPOSS/2/9,485908.37
CONPOSS,2,10,CONPOSS/2/10,490319.29
CONPOSS,3,1,CONPOSS/3/1,457818.65
CONPOSS,3,2,CONPOSS/3/2,463240.28
CONPOSS,3,3,CONPOSS/3/3,468661.91
CONPOSS,3,4,CONPOSS/3/4,474083.54
CONPOSS,3,5,CONPOSS/3/5,479505.17
CONPOSS,3,6,CONPOSS/3/6,484926.8
CONPOSS,3,7,CONPOSS/3/7,490348.43
CONPOSS,3,8,CONPOSS/3/8,495770.06
CONPOSS,3,9,CONPOSS/3/9,501191.69
CONPOSS,3,10,CONPOSS/3/10,506613.32
CONPOSS,4,1,CONPOSS/4/1,470845.9
CONPOSS,4,2,CONPOSS/4/2,477359.52
CONPOSS,4,3,CONPOSS/4/3,483873.15
CONPOSS,4,4,CONPOSS/4/4,490386.77
CONPOSS,4,5,CONPOSS/4/5,496900.4
CONPOSS,4,6,CONPOSS/4/6,503414.02
CONPOSS,4,7,CONPOSS/4/7,509927.64
CONPOSS,4,8,CONPOSS/4/8,516441.27
CONPOSS,4,9,CONPOSS/4/9,522954.89
CONPOSS,4,10,CONPOSS/4/10,529468.52
CONPOSS,5,1,CONPOSS/5/1,505895.55
CONPOSS,5,2,CONPOSS/5/2,513462.82
CONPOSS,5,3,CONPOSS/5/3,521030.1
CONPOSS,5,4,CONPOSS/5/4,528597.37
CONPOSS,5,5,CONPOSS/5/5,536164.65
CONPOSS,5,6,CONPOSS/5/6,543731.93
CONPOSS,5,7,CONPOSS/5/7,551299.2
CONPOSS,5,8,CONPOSS/5/8,558866.48
CONPOSS,5,9,CONPOSS/5/9,566433.75
CONPOSS,5,10,CONPOSS/5/10,574001.03
CONPOSS,6,1,CONPOSS/6/1,548079.96
CONPOSS,6,2,CONPOSS/6/2,557303.64
CONPOSS,6,3,CONPOSS/6/3,566527.31
CONPOSS,6,4,CONPOSS/6/4,575750.98
CONPOSS,6,5,CONPOSS/6/5,584974.65
CONPOSS,6,6,CONPOSS/6/6,594198.32
CONPOSS,6,7,CONPOSS/6/7,603422
CONPOSS,6,8,CONPOSS/6/8,612645.67
CONPOSS,6,9,CONPOSS/6/9,621869.34
CONPOSS,6,10,CONPOSS/6/10,631093.01
CONPOSS,7,1,CONPOSS/7/1,740798.57
CONPOSS,7,2,CONPOSS/7/2,755121.8
CONPOSS,7,3,CONPOSS/7/3,769445.02
CONPOSS,7,4,CONPOSS/7/4,783768.24
CONPOSS,7,5,CONPOSS/7/5,798091.47
CONPOSS,7,6,CONPOSS/7/6,812414.69
CONPOSS,7,7,CONPOSS/7/7,826737.92
CONPOSS,7,8,CONPOSS/7/8,841061.14
CONPOSS,7,9,CONPOSS/7/9,855384.37
CONPOSS,7,10,CONPOSS/7/10,869707.59
CONPOSS,8,1,CONPOSS/8/1,1363391.82
CONPOSS,8,2,CONPOSS/8/2,1380438.89
CONPOSS,8,3,CONPOSS/8/3,1397485.97
CONPOSS,8,4,CONPOSS/8/4,1414533.04
CONPOSS,8,5,CONPOSS/8/5,1431580.12
CONPOSS,8,6,CONPOSS/8/6,1448627.19
CONPOSS,8,7,CONPOSS/8/7,1465674.27
CONPOSS,8,8,CONPOSS/8/8,1482721.35
CONPOSS,8,9,CONPOSS/8/9,1499768.42
CONPOSS,8,10,CONPOSS/8/10,1516815.5
CONPOSS,9,1,CONPOSS/9/1,1440619.75
CONPOSS,9,2,CONPOSS/9/2,1460916.73
CONPOSS,9,3,CONPOSS/9/3,1481213.72
CONPOSS,9,4,CONPOSS/9/4,1501510.7
CONPOSS,9,5,CONPOSS/9/5,1521807.69
CONPOSS,9,6,CONPOSS/9/6,1542104.68
CONPOSS,9,7,CONPOSS/9/7,1562401.66
CONPOSS,9,8,CONPOSS/9/8,1582698.65
CONPOSS,9,9,CONPOSS/9/9,1602995.63
CONPOSS,9,10,CONPOSS/9/10,1623292.62
CONPOSS,10,1,CONPOSS/10/1,1552966.34
CONPOSS,10,2,CONPOSS/10/2,1575286.28
CONPOSS,10,3,CONPOSS/10/3,1597606.21
CONPOSS,10,4,CONPOSS/10/4,1619926.15
CONPOSS,10,5,CONPOSS/10/5,1642246.08
CONPOSS,10,6,CONPOSS/10/6,1664566.02
CONPOSS,10,7,CONPOSS/10/7,1686885.96
CONPOSS,10,8,CONPOSS/10/8,1709205.89
CONPOSS,10,9,CONPOSS/10/9,1731525.83
CONPOSS,10,10,CONPOSS/10/10,1753845.76
CONPOSS,11,1,CONPOSS/11/1,1677909.21
CONPOSS,11,2,CONPOSS/11/2,1712529.42
CONPOSS,11,3,CONPOSS/11/3,1747149.63
CONPOSS,11,4,CONPOSS/11/4,1781769.84
CONPOSS,11,5,CONPOSS/11/5,1816390.05
CONPOSS,11,6,CONPOSS/11/6,1851010.26
