age,qx,lx,dx,Dx,Nx,Sx,Cx,Mx,Rx,ax,ax (n year gtee),ax (n year gtee)
10,0.00117,897001,1049.49117,886573.3082,57670636.35,2055681171,1036.078559,819177.4721,55268295.43,65.04892017,12.75622095,12.71455428
11,0.00117,895951.5088,1048.263265,884501.1511,56784063.04,1998010534,1033.656968,818141.3935,54449117.95,64.1989702,12.74883768,12.70717101
12,0.00117,894903.2456,1047.036797,882433.8371,55899561.89,1941226471,1031.241037,817107.7366,53630976.56,63.34702902,12.74085441,12.69918774
13,0.00117,893856.2088,1045.811764,880371.3551,55017128.05,1885326909,1028.830753,816076.4955,52813868.82,62.49309196,12.73222238,12.69055571
14,0.00117,892810.397,1044.588164,878313.6936,54136756.7,1830309781,1026.426103,815047.6648,51997792.33,61.63715435,12.72288887,12.6812222
15,0.00117,891765.8088,1043.365996,876260.8414,53258443.01,1776173025,1024.027073,814021.2387,51182744.66,60.7792115,12.71279686,12.6711302
16,0.00117,890722.4428,1042.145258,874212.7872,52382182.16,1722914582,1021.63365,812997.2116,50368723.42,59.91925871,12.70188473,12.66021807
17,0.00117,889680.2976,1040.925948,872169.5199,51507969.38,1670532400,1019.245821,811975.5779,49555726.21,59.05729127,12.69008583,12.64841916
18,0.00117,888639.3716,1039.708065,870131.0283,50635799.86,1619024430,1016.863573,810956.3321,48743750.64,58.19330447,12.67732809,12.63566142
19,0.00117,887599.6636,1038.491606,868097.3011,49765668.83,1568388630,1014.486893,809939.4685,47932794.3,57.32729357,12.66353359,12.62186692
20,0.00117,886561.172,1037.276571,866068.3273,48897571.53,1518622961,1012.115768,808924.9817,47122854.83,56.45925383,12.64861807,12.6069514
21,0.00118,885523.8954,1044.918197,864044.0958,48031503.2,1469725390,1018.380528,807912.8659,46313929.85,55.5891805,12.63249045,12.59082378
22,0.00119,884478.9772,1052.529983,862015.9651,47167459.1,1421693887,1024.600216,806894.4854,45506016.99,54.71761663,12.6151831,12.57351643
23,0.0012,883426.4472,1060.111737,859983.9848,46305443.14,1374526428,1030.774775,805869.8851,44699122.5,53.84454124,12.59659978,12.55493312
24,0.00121,882366.3355,1067.663266,857948.2046,45445459.16,1328220984,1036.90415,804839.1104,43893252.62,52.96993328,12.5766364,12.53496973
25,0.00123,881298.6722,1083.997367,855908.6742,44587510.95,1282775525,1051.537371,803802.2062,43088413.51,52.09377156,12.55518033,12.51351366
26,0.00124,880214.6748,1091.466197,853856.8939,43731602.28,1238188014,1057.545221,802750.6688,42284611.3,51.21654763,12.53223983,12.49057316
27,0.00126,879123.2086,1107.695243,851801.5036,42877745.38,1194456412,1072.015636,801693.1236,41481860.63,50.33771976,12.50756339,12.46589672
28,0.00128,878015.5134,1123.859857,849734.0449,42025943.88,1151578667,1086.388503,800621.108,40680167.51,49.45776167,12.48113886,12.4394722
29,0.0013,876891.6535,1139.95915,847654.6294,41176209.83,1109552723,1100.663242,799534.7195,39879546.4,48.57663535,12.45282292,12.41115625
30,0.00132,875751.6944,1155.992237,845563.3692,40328555.2,1068376513,1114.839285,798434.0562,39080011.68,47.6943026,12.42246045,12.38079378
31,0.00135,874595.7022,1180.704198,843460.377,39482991.84,1028047958,1137.34082,797319.217,38281577.62,46.8107251,12.3898836,12.34821693
32,0.00138,873414.998,1205.312697,841337.3408,38639531.46,988564966,1159.688694,796181.8761,37484258.41,45.92632418,12.35503901,12.31337234
33,0.00142,872209.6853,1238.537753,839194.4377,37798194.12,949925434.5,1190.263493,795022.1874,36688076.53,45.04104462,12.31773978,12.27607311
34,0.00147,870971.1475,1280.327587,837023.4642,36958999.68,912127240.4,1228.986578,793831.924,35893054.34,44.15527313,12.27791109,12.23624443
35,0.00153,869690.8199,1330.626954,834816.3046,36121976.22,875168240.7,1275.776288,792602.9374,35099222.42,43.26937078,12.23547054,12.19380387
36,0.00158,868360.193,1372.009105,832564.9347,35287159.91,839046264.5,1313.915316,791327.1611,34306619.48,42.38367296,12.1903273,12.14866063
37,0.00165,866988.1839,1430.530503,830278.0568,34454594.98,803759104.6,1368.357815,790013.2458,33515292.32,41.49765816,12.14212888,12.10046221
38,0.00173,865557.6534,1497.41474,827939.4089,33624316.92,769304509.6,1430.661304,788644.888,32725279.08,40.6120503,12.09087204,12.04920538
39,0.00182,864060.2386,1572.589634,825541.1905,32796377.51,735680192.7,1500.729114,787214.2267,31936634.19,39.72712433,12.03642441,11.99475774
40,0.00191,862487.649,1647.35141,823075.707,31970836.32,702883815.2,1570.237422,785713.4975,31149419.96,38.84312956,11.97864032,11.93697365
41,0.00203,860840.2976,1747.505804,820543.5963,31147760.61,670912978.9,1663.756905,784143.2601,30363706.46,37.95990945,11.91723555,11.87556888
42,0.00216,859092.7918,1855.64043,817920.9254,30327217.02,639765218.3,1764.644565,782479.5032,29579563.2,37.07842174,11.85227158,11.81060492
43,0.00229,857237.1513,1963.073077,815200.4317,29509296.09,609438001.2,1864.627374,780714.8586,28797083.7,36.19882295,11.78356247,11.74189581
44,0.00245,855274.0783,2095.421492,812383.1344,28694095.66,579928705.2,1988.012704,778850.2313,28016368.84,35.32089041,11.71078141,11.66911474
45,0.00261,853178.6568,2226.796294,809445.7442,27881712.53,551234609.5,2110.184477,776862.2186,27237518.61,34.44543717,11.63393665,11.59226998
46,0.0028,850951.8605,2382.665209,806389.615,27072266.78,523352897,2255.252277,774752.0341,26460656.39,33.57219175,11.55266696,11.51100029
47,0.00302,848569.1953,2562.67897,803191.9894,26265877.17,496280630.2,2422.805126,772496.7818,25685904.36,32.70186644,11.46693774,11.42527107
48,0.00324,846006.5163,2741.061113,799830.5479,25462685.18,470014753,2588.422521,770073.9767,24913407.58,31.83509963,11.37670123,11.33503457
49,0.00348,843265.4552,2934.563784,796307.4172,24662854.63,444552067.8,2767.911356,767485.5542,24143333.6,30.97152443,11.28154119,11.23987452
50,0.00376,840330.8914,3159.644152,792608.915,23866547.21,419889213.2,2976.72675,764717.6428,23375848.04,30.11137872,11.18123686,11.13957019
51,0.00405,837171.2473,3390.543551,788705.9195,23073938.3,396022666,3190.526059,761740.9161,22611130.4,29.25543948,11.0757707,11.03410404
52,0.00347,833780.7037,2893.219042,784593.6859,22285232.38,372948727.7,2719.358441,758550.39,21849389.49,28.40353265,10.96476256,10.9230959
53,0.00472,830887.4847,3921.788928,780957.4257,21500638.69,350663495.3,3681.81133,755831.0316,21090839.1,27.5311278,10.83780785,10.79614118
54,0.0051,826965.6957,4217.525048,776362.9619,20719681.27,329162856.6,3954.823962,752149.2202,20335008.06,26.68813723,10.71423366,10.67256699
